Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,SP,W,EW,TotalCount
,,BUS    83,1420,ROGERS T A,8.0,1.0,2.0,1.0,2.0,,1.0,,,,4.0,19
,,BUS    84,1421,RODRIGUEZ K P,19.0,4.0,1.0,,2.0,,1.0,,,,,27
,,BUS    85,1422,EVERETT K M,14.0,4.0,2.0,2.0,3.0,,1.0,,,,7.0,33
,,BUS    901,7001,MIKOLAJCZAK M,,,,,,2.0,1.0,,,,,3
,,BUS    902,7002,MIKOLAJCZAK M,,,,,,4.0,,,,,,4
,COUNS,COUNS  47,1791,LU M,8.0,,1.0,,2.0,,,,,,1.0,12
,,,1792,RESNICK W J,3.0,1.0,1.0,,1.0,,,,,,,6
,,,1793,RESNICK W J,3.0,1.0,,,2.0,,,,,,2.0,8
,,,1794,RESNICK W J,5.0,3.0,,,1.0,2.0,,,,,,11
Communication,BUS,BUS    29,4034,ADELMAN A,8.0,4.0,,,,,,1.0,,,6.0,19
,,BUS    33,4035,ADELMAN A,1.0,1.0,1.0,,,,,3.0,,,,6
,COM ST,COM ST  9,1532,FOX N M,6.0,2.0,5.0,2.0,7.0,,,,,,9.0,31
,,,1533,SMITH H A,4.0,9.0,5.0,1.0,2.0,,,,,,10.0,31
,,,1534,FOX N M,2.0,4.0,8.0,,6.0,,,,,,11.0,31
,,,1535,SMITH H A,1.0,3.0,3.0,1.0,4.0,,,,,,12.0,24
,,,1536,GRASS N L,6.0,13.0,7.0,1.0,2.0,,,,,,5.0,34
,,COM ST 11,1537,SADEGHI-TABRIZI F,1.0,9.0,6.0,1.0,9.0,,,,,,4.0,30
,,,1538,OGATA D K,24.0,2.0,,,1.0,,,1.0,,,2.0,30
,,,1539,TREMEAU CHEKROUN,10.0,6.0,7.0,,4.0,,,,,,4.0,31
,,,1540,RUH C,,8.0,7.0,8.0,8.0,,,,,,,31
,,,1541,HUBBLE B,20.0,2.0,1.0,,2.0,,,,,,3.0,28
,,,1542,SUNG M,3.0,12.0,6.0,2.0,2.0,,,,,,8.0,33
,,,1543,OGATA D K,24.0,4.0,1.0,,4.0,,1.0,,,,8.0,42
,,,1544,PRESTON B L,27.0,1.0,,,1.0,,,,,,,29
,,,1545,SUNG M,10.0,12.0,3.0,2.0,3.0,,,,,,4.0,34
,,,1546,JUNIUS J A,12.0,4.0,4.0,2.0,2.0,,,,,,2.0,26
,,,1547,MARTIN B S,9.0,6.0,,1.0,4.0,,,,,,11.0,31
,,,1548,SADEGHI-TABRIZI F,6.0,3.0,1.0,1.0,11.0,,,,,,10.0,32
,,,1549,FOX N M,6.0,11.0,4.0,2.0,2.0,,,,,,9.0,34
,,,1550,MARTIN B S,6.0,2.0,2.0,1.0,6.0,,,,,,13.0,30
,,,1551,BEELER M,10.0,3.0,2.0,2.0,9.0,,,1.0,,,5.0,32
,,,1552,WHIDDEN A R,9.0,6.0,,,6.0,,,1.0,,,7.0,29
,,,1553,BROWN N A,17.0,5.0,,,,,,,,,4.0,26
,,,1554,BERMUDEZ JR N A,14.0,9.0,,,4.0,1.0,,,,,5.0,33
,,,1555,FOX N M,7.0,10.0,2.0,3.0,3.0,,,,,,8.0,33
,,,1556,BERMUDEZ JR N A,20.0,4.0,1.0,,5.0,,,,,,3.0,33
,,,1557,JUNIUS J A,10.0,8.0,2.0,,6.0,,,,,,3.0,29
,,,1558,FARSCHMAN K V,18.0,8.0,1.0,1.0,2.0,,,,,,3.0,33
,,,1559,FARSCHMAN K V,14.0,4.0,,1.0,8.0,,,,,,2.0,29
,,,1560,FARSCHMAN K V,14.0,6.0,2.0,,2.0,,,,,,7.0,31
,,,1561,JUNIUS J A,2.0,8.0,3.0,,3.0,,,,,,4.0,20
,,,1562,KWACK J B,14.0,7.0,,,2.0,,,,,,9.0,32
,,,1563,MELAMED N,13.0,,2.0,1.0,8.0,,,,,,3.0,27
,,,1564,HOWARD D B,16.0,4.0,1.0,2.0,1.0,,,,,,7.0,31
,,,1565,HOWARD D B,11.0,5.0,5.0,1.0,2.0,,,,,,5.0,29
,,,1566,HOWARD B,8.0,13.0,2.0,,6.0,,,,,,2.0,31
,,,1567,HOWARD B,8.0,8.0,3.0,1.0,5.0,,,,,,5.0,30
,,,1568,HOWARD B,4.0,13.0,6.0,,3.0,,,,,,7.0,33
,,,1569,MENJIVAR M I,11.0,9.0,4.0,,4.0,,,,,,3.0,31
,,,1570,SHAFFER J M,6.0,7.0,2.0,,6.0,,,,,,10.0,31
,,,1571,HOWARD D B,15.0,7.0,3.0,,3.0,,,,,,3.0,31
,,,1572,FOX N M,5.0,6.0,3.0,1.0,9.0,,,,,,9.0,33
,,,1573,MENJIVAR M I,8.0,8.0,3.0,,6.0,,,,,,3.0,28
,,,1574,SMITH H A,2.0,7.0,6.0,2.0,2.0,,,,,,9.0,28
,,,1575,PRESTON B L,22.0,1.0,,,3.0,,,,,,1.0,27
,,,3655,WHIDDEN A R,7.0,8.0,1.0,,5.0,,,2.0,,,3.0,26
,,,3690,MENJIVAR M I,10.0,3.0,1.0,,6.0,1.0,,,,,3.0,24
,,,3704,MELAMED N,10.0,2.0,1.0,1.0,7.0,1.0,,,,,8.0,30
,,,3708,HUBBLE B,7.0,5.0,3.0,,5.0,,,1.0,,,5.0,26
,,COM ST 12,1576,ANDRADE L M,17.0,7.0,3.0,1.0,1.0,,,,,,4.0,33
,,COM ST 14,1577,ANDRADE L M,3.0,3.0,3.0,1.0,,1.0,,,,,3.0,14
,,COM ST 16,1578,KAIMIKAUA-GREEN C,5.0,3.0,4.0,3.0,1.0,,,,,,4.0,20
,,,1579,TREMEAU CHEKROUN,3.0,13.0,9.0,2.0,1.0,1.0,,,,,2.0,31
,,,1580,TREMEAU CHEKROUN,9.0,7.0,7.0,1.0,1.0,,,,,,5.0,30
,,,1581,PICARELLI R R,6.0,7.0,7.0,2.0,5.0,1.0,,,,,3.0,31
,,,1582,SHAFFER J M,12.0,11.0,1.0,1.0,,,,,,,6.0,31
,,COM ST 20,1583,ANDRADE L M,7.0,3.0,3.0,3.0,1.0,1.0,,,,,8.0,26
,,COM ST 21,1584,HUBBLE B,12.0,7.0,2.0,1.0,3.0,,,,,,2.0,27
,,,1585,BROWN N A,9.0,5.0,1.0,,,,,,,,3.0,18
,,,1586,KWACK J B,12.0,4.0,6.0,,4.0,,,,,,6.0,32
,,,1587,SMITH H A,3.0,3.0,1.0,4.0,3.0,,,,,,12.0,26
,,,1588,ANDRADE L M,16.0,4.0,1.0,2.0,1.0,,,,,,4.0,28
,,,1589,ANDRADE L M,13.0,8.0,1.0,2.0,,,,,,,5.0,29
,,,1590,ANDRADE L M,8.0,5.0,12.0,3.0,1.0,,,,,,3.0,32
,,,1591,MELAMED N,12.0,7.0,1.0,,8.0,,1.0,,,,3.0,32
,,,1592,BEELER M,15.0,3.0,2.0,1.0,6.0,,,,,,4.0,31
,,,1593,BROWN N A,17.0,1.0,1.0,,,,,,,,6.0,25
,,COM ST 30,1595,KAIMIKAUA-GREEN C,10.0,3.0,2.0,,3.0,,,,,,5.0,23
,,COM ST 31,1596,SADEGHI-TABRIZI F,7.0,3.0,,,3.0,,,,,,8.0,21
,,COM ST 35,1597,OGATA D K,19.0,8.0,,,4.0,,,,,,2.0,33
,,,1598,TREMEAU CHEKROUN,9.0,7.0,3.0,1.0,1.0,,,,,,2.0,23
,,,1599,OGATA D K,20.0,6.0,,,3.0,,,,,,3.0,32
,,,1600,OGATA D K,20.0,5.0,,1.0,5.0,,,,,,4.0,35
,,,1601,TREMEAU CHEKROUN,10.0,9.0,2.0,1.0,2.0,,,,,,2.0,26
,,,1602,PICARELLI R R,7.0,6.0,7.0,,6.0,,,,,,4.0,30
,,,1603,BERGSTROM L M,17.0,3.0,4.0,,,1.0,,,,,6.0,31
,,,1604,BERGSTROM L M,21.0,8.0,,,,,,,,,2.0,31
,,,1605,SMITH H A,6.0,5.0,3.0,2.0,4.0,,,,,,4.0,24
,,,1606,BROWN N A,9.0,8.0,8.0,1.0,1.0,,,,,,2.0,29
,,,1607,BROWN N A,10.0,4.0,3.0,,3.0,,,,,,2.0,22
,,,1609,BERGSTROM L M,11.0,8.0,2.0,,,,,,,,8.0,29
,,COM ST 36,1611,KAIMIKAUA-GREEN C,3.0,3.0,3.0,2.0,1.0,,,,,,7.0,19
,,COM ST 37,1613,WHIDDEN A R,13.0,6.0,5.0,,3.0,,,,,,6.0,33
,,,1615,GRASS N L,5.0,4.0,4.0,1.0,,1.0,,,,,15.0,30
,FILM,FILM    1,2422,FLOOD S W,15.0,10.0,5.0,1.0,,,,,,,4.0,35
,,,2423,LEMOND J W,9.0,12.0,3.0,1.0,6.0,,,,,,1.0,32
,,,2424,LEMOND J W,8.0,9.0,6.0,1.0,7.0,,,,,,2.0,33
,,,2425,SIMMONS R D,6.0,11.0,8.0,2.0,,,,,,,3.0,30
,,,2426,SIMMONS R D,6.0,14.0,5.0,4.0,,,,,,,2.0,31
,,,2427,SPRAGUE T,18.0,3.0,1.0,,3.0,,1.0,,,,6.0,32
,,,3654,COLEMAN D,6.0,3.0,3.0,2.0,6.0,,,,,,8.0,28
,,,3688,COLEMAN D,12.0,2.0,2.0,1.0,3.0,1.0,,,,,5.0,26
,,,4117,BOLUS M P,24.0,2.0,,,3.0,,,,,,3.0,32
,,,4118,CONLEY T,23.0,8.0,,,1.0,,,1.0,,,5.0,38
,,FILM    2,2428,FLOOD S W,19.0,7.0,4.0,,,,,,,,4.0,34
,,,4119,KANIN J D,17.0,6.0,,1.0,1.0,,,,,,3.0,28
,,,4120,KANIN J D,14.0,13.0,,,,,,,,,2.0,29
,,FILM    5,2430,LAFFEY S A,19.0,3.0,3.0,,2.0,,,,,,6.0,33
,,,2431,MANOJLOVIC M,20.0,4.0,,2.0,3.0,,,,,,1.0,30
,,,2432,KANIN J D,5.0,19.0,,2.0,3.0,,,,,,1.0,30
,,FILM    6,4121,SHAW R D,17.0,9.0,1.0,,,,,,,1.0,5.0,33
,,FILM    7,3485,CARRASCO S,18.0,6.0,1.0,,,,,,,,3.0,28
,,FILM    8,2433,BIRNBAUM M J,19.0,7.0,3.0,1.0,3.0,,,,,,1.0,34
,,,2434,MANOJLOVIC M,21.0,5.0,,1.0,1.0,,,,,,3.0,31
,,,2435,KANIN J D,9.0,7.0,,5.0,1.0,3.0,,,,,1.0,26
,,FILM    9,2436,LEECH M R,16.0,5.0,2.0,,4.0,,,,,,3.0,30
,,,2437,POIRIER N P,21.0,3.0,,,,,,3.0,,,5.0,32
,,FILM   10,4122,BOLUS M P,17.0,1.0,,,3.0,,,1.0,,,4.0,26
,,FILM   11,2438,POIRIER N P,18.0,4.0,2.0,,,,,3.0,,,3.0,30
,,FILM   20,2439,ROSENTHAL L,22.0,5.0,,,,,,,,,2.0,29
,,,2440,DICKINSON L M,29.0,,,1.0,1.0,,,,,,,31
,,FILM   21,2441,PETRELLA R J,7.0,8.0,3.0,,,1.0,,,,,6.0,25
,,,2442,BIRNBAUM M J,10.0,3.0,1.0,,7.0,3.0,,,,,6.0,30
,,,4123,PETRELLA R J,5.0,8.0,,,,1.0,,,,,4.0,18
,,FILM   30,2443,DANIELS R,8.0,11.0,2.0,4.0,,,,,,,4.0,29
,,,2444,DANIELS R,11.0,8.0,,2.0,,,,,,,3.0,24
,,FILM   31,2445,BARTESAGHI S,23.0,1.0,,,,,,,,,1.0,25
,,,3538,CARRASCO S,19.0,2.0,,,,,,,,,7.0,28
,,,4124,BARTESAGHI S,25.0,1.0,,,,,,,,,1.0,27
,,FILM   32,2446,BARTESAGHI S,20.0,,,,,,,,,,,20
,,,2447,BARTESAGHI S,22.0,,,,,,,,,,1.0,23
,,FILM   32L,2448,CARRASCO S,27.0,3.0,,,,,,,,,1.0,31
,,,2449,BARTESAGHI S,19.0,,,,,,,,,,1.0,20
,,,2450,BARTESAGHI S,22.0,,,,,,,,,,1.0,23
,,FILM   33L,2451,CARRASCO S,9.0,4.0,,,,,,,,,,13
,,FILM   34,4311,SOLANKI V M,12.0,,,,,,,,,,,12
,,FILM   40,2452,SOLANKI V M,20.0,3.0,,,,,,,,,4.0,27
,,,2453,SOLANKI V M,23.0,,,,,,,,,,4.0,27
,,FILM   50,2454,PLATT H H,7.0,9.0,3.0,2.0,1.0,,,,,,2.0,24
,,FILM   88A,2455,GRASS N L,18.0,,,,,,,,,,,18
,,FILM   90A,3692,GRASS N L,,,,,,1.0,,,,,,1
,GLOBAL,GLOBAL  3,2487,MOVIUS L,18.0,,,,,,,,,,2.0,20
,,,2488,MOVIUS L,12.0,3.0,1.0,,1.0,,,,,,1.0,18
,JOURN,JOURN   1,2632,RUBIN S M,2.0,7.0,4.0,1.0,,,,,,,7.0,21
,,,2633,RUBIN S M,10.0,1.0,2.0,1.0,,,,,,,5.0,19
,,,2636,BLAIZE-HOPKINS A N,8.0,2.0,,,5.0,,,,,1.0,3.0,19
,,,3644,RUBIN S M,4.0,3.0,1.0,,2.0,,,,,,2.0,12
,,JOURN   7,3551,OBSATZ S B,8.0,4.0,,,,,,,,,1.0,13
,,JOURN  15,2637,RUBIN S M,5.0,5.0,1.0,,3.0,,1.0,,,1.0,6.0,22
,,,3645,RUBIN S M,5.0,4.0,1.0,1.0,3.0,,,,,,6.0,20
,,JOURN  16,2639,BLAIZE-HOPKINS A N,13.0,4.0,1.0,1.0,,,,,,,4.0,23
,,JOURN  17,2640,BLAIZE-HOPKINS A N,,,,,,1.0,,,,,,1
,,,2641,BLAIZE-HOPKINS A N,3.0,,,,,,,,,,,3
,,JOURN  21,2642,BURKHART G J,5.0,,,,1.0,,,,,,3.0,9
,,JOURN  22,2643,BURKHART G J,1.0,,2.0,,,,,,,,,3
,,JOURN  43,4151,ADELMAN A,6.0,5.0,1.0,1.0,1.0,,,,,,1.0,15
,MEDIA,MEDIA   1,2945,BREWINGTON R H,18.0,5.0,,,,,,3.0,,1.0,1.0,28
,,,2946,CAPTOR R,17.0,5.0,5.0,,,,,,,,6.0,33
,,,2947,SHAW R D,11.0,7.0,2.0,,1.0,,,2.0,,,5.0,28
,,,2949,GOUGIS M J,12.0,11.0,5.0,1.0,,,,,,,4.0,33
,,,2950,MOVIUS L,31.0,3.0,,,3.0,,,,,1.0,,38
,,,2951,GOUGIS M J,18.0,8.0,4.0,,4.0,,,,,,2.0,36
,,,2952,DICKINSON L M,27.0,3.0,2.0,,2.0,,,,,,2.0,36
,,,2953,MOVIUS L,30.0,3.0,2.0,,,,,,,,1.0,36
,,,2954,RAZ J G,2.0,6.0,5.0,3.0,4.0,,,,,1.0,4.0,25
,,,2955,COLEMAN D,10.0,5.0,3.0,,2.0,,,,,,4.0,24
,,,2956,CHICAS H K,21.0,4.0,1.0,,9.0,,,,,,3.0,38
,,,2957,DICKINSON L M,17.0,7.0,4.0,,2.0,,,,,,6.0,36
,,,2959,MOVIUS L,28.0,3.0,1.0,,2.0,,,,,,1.0,35
,,,2960,OBSATZ S B,31.0,6.0,,1.0,2.0,,,,,,1.0,41
,,,3703,MOVIUS L,15.0,3.0,4.0,,2.0,,,,,,7.0,31
,,,3705,SIMMONS R D,5.0,1.0,3.0,4.0,,,,,,,3.0,16
,,,4220,CONLEY T,8.0,5.0,1.0,3.0,4.0,,,,,,8.0,29
,,MEDIA   2,2961,SCHOFIELD J E,6.0,4.0,,,1.0,,,,,,1.0,12
,,,3674,STOWELL R,31.0,,,,,,,,,,,31
,,MEDIA   3,2962,MOVIUS L,11.0,4.0,2.0,,,,,,,,2.0,19
,,,2963,MOVIUS L,10.0,4.0,1.0,,,,,,,,1.0,16
,,MEDIA   4,2964,RAZ J G,19.0,7.0,3.0,3.0,1.0,,,,,,2.0,35
,,,2965,RAZ J G,14.0,8.0,3.0,,1.0,1.0,,,,,7.0,34
,,MEDIA  10,2966,SCHOFIELD J E,25.0,4.0,3.0,2.0,2.0,,,,,,1.0,37
,,,2967,OBSATZ S B,30.0,,,,1.0,,,,,,2.0,33
,,,2968,SCHOFIELD J E,21.0,6.0,1.0,,3.0,,,1.0,,,1.0,33
,,,2969,PERNISCO N,18.0,3.0,1.0,,3.0,,,,,,4.0,29
,,,2970,OBSATZ S B,29.0,10.0,,,2.0,,,,,,,41
,,,2971,OBSATZ S B,29.0,8.0,1.0,1.0,,,,,,,1.0,40
,,,2972,STAMBLER L S,11.0,4.0,3.0,,,,,,,,4.0,22
,,,2976,GOUGIS M J,15.0,7.0,2.0,,1.0,,,,,,2.0,27
,,,3689,STAMBLER L S,24.0,2.0,2.0,,,1.0,1.0,,,,2.0,32
,,MEDIA  11,2979,SHAW R D,8.0,10.0,4.0,,4.0,,,1.0,,,6.0,33
,,MEDIA  13,4221,CARLUCCI M A,9.0,,,,1.0,,,2.0,,,2.0,14
,,MEDIA  16,2981,CARLUCCI M A,8.0,,,,,,,,,,5.0,13
,,MEDIA  18,4222,ADELMAN A,2.0,6.0,,,1.0,,,2.0,,,3.0,14
,,MEDIA  20,2983,SHAW R D,11.0,4.0,2.0,1.0,4.0,,,,,,6.0,28
,,,3679,CAREY R T,16.0,,,,,,,,,,,16
,,,4317,WEISMAN B S,13.0,3.0,,,,,,,,,,16
,,MEDIA  21,4224,CAPTOR R,5.0,,,,,,,,,,7.0,12
,,MEDIA  25,3552,OBSATZ S B,,,,,,,,,,,2.0,2
,,MEDIA  46,2984,FETZER G C,8.0,,1.0,,2.0,,,,,,2.0,13
,,MEDIA  88A,3706,GRASS N L,1.0,,,,,,,,,,,1
,,MEDIA  88B,2986,GRASS N L,1.0,,,,,,,,,,,1
,PHOTO,PHOTO  13,3190,BURKHART G J,2.0,,,,,,,,,,3.0,5
,,PHOTO  14,3191,BURKHART G J,1.0,,,,,,,,,,,1
Cosmetology,COSM,COSM   10A,1618,MANUEL S M,12.0,6.0,4.0,,1.0,,,,,,3.0,26
,,,1619,HORN S L,26.0,1.0,1.0,3.0,1.0,,,,,,2.0,34
,,,1620,HORN S L,11.0,5.0,,10.0,,,,,,,2.0,28
,,,1621,CEBALLOS B A,23.0,3.0,2.0,,1.0,,,,,,4.0,33
,,COSM   10B,1622,MYERS A M,14.0,7.0,1.0,2.0,,,,,,,5.0,29
,,,1623,HORN S L,17.0,4.0,3.0,1.0,,,,,,,4.0,29
,,,1624,CEBALLOS B A,14.0,3.0,,5.0,,,,,,,3.0,25
,,,1625,CEBALLOS B A,17.0,6.0,2.0,,2.0,,,,,,1.0,28
,,COSM   11A,1626,MOISAN A V,18.0,,1.0,,2.0,,,,,,1.0,22
,,,1627,MOISAN A V,14.0,,,,1.0,,,,,,14.0,29
,,COSM   11B,1628,PERRET D M,10.0,5.0,1.0,,3.0,,,,,,2.0,21
,,,1629,PERRET D M,8.0,5.0,1.0,,3.0,,,,,,3.0,20
,,COSM   11C,1630,MANUEL S M,10.0,4.0,2.0,,,,,,,,3.0,19
,,,1631,MANUEL S M,8.0,2.0,3.0,,1.0,,,,,,3.0,17
,,COSM   11D,1632,MOISAN A V,19.0,,,,1.0,,,,,,2.0,22
,,,1633,MOISAN A V,12.0,,,,3.0,,,,,,1.0,16
,,COSM   11E,1634,MYERS A M,9.0,3.0,4.0,1.0,1.0,,,,,,8.0,26
,,,1635,MYERS A M,6.0,7.0,2.0,1.0,1.0,,,,,,8.0,25
,,COSM   16,1636,NUNLEY R M,14.0,7.0,2.0,3.0,2.0,,,,,,1.0,29
,,,1637,NUNLEY R M,6.0,10.0,1.0,,,,,,,,3.0,20
,,COSM   18,1638,LIM J Y,21.0,3.0,2.0,1.0,,,,1.0,,,,28
,,,1639,LIM J Y,19.0,4.0,,,,,,,,,2.0,25
,,,4047,MANUEL S M,10.0,2.0,1.0,2.0,1.0,,,,,,5.0,21
,,,4048,MANUEL S M,7.0,5.0,3.0,,,,,,,,5.0,20
,,COSM   20,1640,IJAMES S V,14.0,5.0,1.0,1.0,1.0,,,,,,4.0,26
,,,1641,IJAMES S V,17.0,3.0,2.0,,,,,,,,4.0,26
,,,1642,IJAMES S V,11.0,6.0,3.0,,2.0,,,,,,3.0,25
,,COSM   21A,1643,HARRISON H L,14.0,1.0,2.0,,,,,,,,1.0,18
,,,1644,HARRISON H L,7.0,,,,1.0,,,,,,,8
,,COSM   21B,1645,MANUEL S M,8.0,5.0,2.0,,1.0,,,,,,,16
,,,1646,MANUEL S M,7.0,2.0,,,,,,,,,,9
,,COSM   21C,1647,PERRET D M,14.0,3.0,3.0,,3.0,,,,,,,23
,,COSM   21D,1648,MOISAN A V,20.0,,,,2.0,,,,,,2.0,24
,,COSM   21E,1649,MYERS A M,4.0,3.0,2.0,2.0,2.0,,,,,,3.0,16
,,,1650,MYERS A M,10.0,7.0,1.0,,,,,,,,3.0,21
,,COSM   26,1651,NUNLEY R M,20.0,4.0,1.0,1.0,1.0,,,,,,2.0,29
,,,1652,NUNLEY R M,16.0,3.0,,,,,,,,,1.0,20
,,COSM   28A,1653,VAN KALLEN D,11.0,4.0,1.0,,,,,,,,4.0,20
,,,1654,VAN KALLEN D,9.0,9.0,6.0,,1.0,,,,,,,25
,,,4049,MONGE J V,10.0,4.0,3.0,,,,,,,,3.0,20
,,COSM   28B,1655,LIM J Y,15.0,1.0,1.0,,,,,,,,4.0,21
,,,1656,LIM J Y,17.0,3.0,,,,,,,,,3.0,23
,,,4050,HORN S L,9.0,5.0,,,,,,,,,8.0,22
,,COSM   30,1657,IJAMES S V,10.0,5.0,2.0,1.0,,,,,,,4.0,22
,,,1658,IJAMES S V,8.0,4.0,3.0,,,,,,,,4.0,19
,,,1659,IJAMES S V,7.0,4.0,4.0,,,,,,,,,15
,,COSM   31A,1661,MONGE J V,7.0,,,,,,,,,,1.0,8
,,COSM   31B,1662,ASSADI J,11.0,17.0,1.0,,1.0,,,,,,1.0,31
,,COSM   31C,1663,CEBALLOS B A,17.0,3.0,,1.0,2.0,,,,,,3.0,26
,,COSM   31E,1664,MYERS A M,13.0,2.0,1.0,,1.0,,,,,,5.0,22
,,COSM   36,1665,NUNLEY R M,10.0,1.0,2.0,1.0,,,,,,,5.0,19
,,,1666,NUNLEY R M,20.0,2.0,,1.0,,,,,,,1.0,24
,,COSM   38,1667,LIM J Y,16.0,3.0,,1.0,,,,,,,3.0,23
,,,1668,LIM J Y,16.0,4.0,1.0,,,,,,,,,21
,,,4051,IJAMES S V,16.0,1.0,,,1.0,,,,,,2.0,20
,,COSM   38B,1669,VAN KALLEN D,15.0,5.0,1.0,,1.0,,,,,,3.0,25
,,,1670,VAN KALLEN D,11.0,8.0,3.0,,1.0,,,,,,3.0,26
,,COSM   38C,1671,VAN KALLEN D,15.0,4.0,1.0,,1.0,,,,,,2.0,23
,,,1672,VAN KALLEN D,17.0,4.0,2.0,2.0,1.0,,,,,,2.0,28
,,COSM   40,1673,DICAMILLO N,13.0,4.0,1.0,,,,,,,,1.0,19
,,COSM   41B,1674,MONGE J V,18.0,2.0,1.0,,,,,,,,2.0,23
,,COSM   42,1675,HARRISON H L,8.0,,5.0,,2.0,,,,,,1.0,16
,,,1676,HARRISON H L,5.0,,,,,,,,,,1.0,6
,,COSM   46,1677,MONGE J V,21.0,3.0,2.0,,1.0,,,,,,,27
,,COSM   48,1678,KEPLER J M,11.0,2.0,1.0,1.0,,,,,,,7.0,22
,,,1679,KEPLER J M,9.0,3.0,4.0,,1.0,,,,,,1.0,18
,,,4052,HORN S L,9.0,4.0,4.0,,,,,,,,4.0,21
,,,4053,HORN S L,8.0,8.0,,,,,,,,,2.0,18
,,COSM   48B,1680,MONGE J V,12.0,4.0,,,,,,,,,4.0,20
,,,1681,MONGE J V,15.0,4.0,2.0,,2.0,,,,,,2.0,25
,,COSM   50A,1682,MOISAN A V,10.0,6.0,,,2.0,,,,,,1.0,19
,,COSM   50B,1684,CEBALLOS B A,14.0,,,,,,,,,,2.0,16
,,COSM   50C,1685,DICAMILLO N,3.0,4.0,,,,,,,,,,7
,,,1686,DICAMILLO N,8.0,3.0,,,,,,,,,1.0,12
,,COSM   50E,1687,DICAMILLO N,8.0,4.0,,,2.0,,,,,,,14
,,,1688,DICAMILLO N,5.0,6.0,,,2.0,,,,,,,13
,,COSM   50N,1689,DICAMILLO N,,1.0,,,,,,,,,,1
,,,1690,DICAMILLO N,,4.0,,,,,,,,,,4
,,COSM   64,1691,MANUEL S M,12.0,8.0,1.0,,1.0,,,,,,3.0,25
,,,1692,MANUEL S M,15.0,9.0,4.0,,,,,,,,2.0,30
,,COSM   95A,1695,PERRET D M,,,,,,13.0,6.0,,,,2.0,21
,,,3502,DICAMILLO N,,,,,,63.0,,,,,4.0,67
,,COSM   95B,1696,ASSADI J,,,,,,14.0,14.0,,,,9.0,37
,,COSM   95C,1697,DICAMILLO N,,,,,,20.0,,,,,4.0,24
,,COSM   95D,1698,ASSADI J,,,,,,9.0,4.0,,,,1.0,14
Counseling,COUNS,COUNS   1,1699,GONZALEZ B M,,,,,,21.0,5.0,,,,8.0,34
,,,1700,GONZALEZ B M,,,,,,23.0,8.0,,,,,31
,,COUNS  11,1701,SOK C,,,,,,31.0,7.0,,,,1.0,39
,,,1702,NISHIYAMA T K,,,,,,36.0,3.0,,,,1.0,40
,,,1703,LOKENI K,,,,,,31.0,9.0,,,,4.0,44
,,,1704,ESQUIVEL E,,,,,,23.0,18.0,,,,2.0,43
,,,1705,SOK C,,,,,,37.0,5.0,,,,,42
,,,3557,KIM SOO,,,,,,33.0,3.0,,,,,36
,,,3585,ROWLAND Y T,,,,,,30.0,7.0,,,,,37
,,COUNS  11B,1706,SANKER C,,,,,,31.0,,,,1.0,2.0,34
,,,1707,HAMILTON K N,,,,,,31.0,3.0,,,,,34
,,COUNS  12,1708,MESHKANI J,16.0,7.0,1.0,,2.0,,,,,,2.0,28
,,,1709,GURROLA D M,11.0,7.0,3.0,,5.0,,,,,,5.0,31
,,,1710,JOHNSON DE A,8.0,2.0,1.0,2.0,7.0,,,,,,3.0,23
,,,1711,RYAN M K,12.0,3.0,,,1.0,,,,,,2.0,18
,,,1712,WINBORNE N,11.0,4.0,3.0,1.0,2.0,,,,,,,21
,,,1713,GAUSMAN J M,18.0,1.0,2.0,4.0,4.0,,,,,,4.0,33
,,,1714,SUNDERMEIER C,4.0,,1.0,,3.0,,,,,,5.0,13
,,,1715,SRAPYAN G,22.0,1.0,,2.0,1.0,2.0,,,,,,28
,,,1716,FOX M P,14.0,2.0,2.0,1.0,9.0,,,,,,1.0,29
,,,1717,ABRAMYAN M D,23.0,1.0,,2.0,4.0,,,,,,2.0,32
,,,1718,GLENN M,21.0,2.0,2.0,2.0,1.0,,,,,,1.0,29
,,,1719,MESHKANI J,14.0,4.0,2.0,1.0,7.0,1.0,,,,,1.0,30
,,,1720,GURROLA D M,13.0,4.0,1.0,,2.0,,,,,,4.0,24
,,,1721,JOHNSON DE A,5.0,,,3.0,7.0,,,,,,11.0,26
,,,1722,RYAN M K,9.0,1.0,,,1.0,,1.0,,,,2.0,14
,,,1724,WINBORNE N,9.0,,2.0,2.0,3.0,,,,,,1.0,17
,,,1725,GAUSMAN J M,15.0,,2.0,,1.0,,,,,,2.0,20
,,,1726,SUNDERMEIER C,11.0,1.0,4.0,1.0,1.0,3.0,,,,,1.0,22
,,,1728,FOX M P,15.0,,,,3.0,,,,,,2.0,20
,,,1729,ABRAMYAN M D,11.0,6.0,2.0,2.0,2.0,,,,,,6.0,29
,,,1730,GLENN M,12.0,1.0,1.0,1.0,5.0,1.0,1.0,,,,2.0,24
,,,4054,SRAPYAN G,20.0,1.0,1.0,1.0,,1.0,,,,,1.0,25
,,COUNS  15,1732,FOX M P,28.0,3.0,2.0,,1.0,1.0,,,,,3.0,38
,,,3510,FOX M P,25.0,2.0,,,2.0,2.0,,,,,4.0,35
