Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
,,COM ST 12,1547,RUH C,4,7,3,4,5,,,,,,7,,30
,,COM ST 16,1548,PICARELLI R R,6,7,7,2,3,1,,,,,2,,28
,,,1549,TREMEAU CHEKROU,8,12,4,2,2,,,,,,,,28
,,,1550,TREMEAU CHEKROU,9,12,3,,2,,,,,,2,,28
,,,1551,SHAFFER J M,14,2,2,,4,,,,,,4,,26
,,,1552,MENJIVAR M I,15,12,,,,,,,,,,,27
,,COM ST 21,1553,BROWN N A,6,2,5,,,,,,,,3,,16
,,,1554,BROWN N A,11,5,2,1,1,,,,,,3,,23
,,,1555,ANDRADE L M,16,4,5,,1,,,,,,6,,32
,,,1556,ANDRADE L M,11,2,4,1,1,,,,,,8,,27
,,,1557,KWACK J B,13,8,3,1,1,,,,,,3,,29
,,,1558,BEELER M,12,7,1,,1,,,,,,3,,24
,,,1559,BEELER M,9,2,5,2,1,,,,,,5,,24
,,,1560,MELAMED N,7,7,5,,4,,,,,,6,,29
,,,1561,KWACK J B,13,5,4,1,,,1,,,,4,,28
,,,3501,KWACK J B,6,4,4,1,10,,,,,,8,,33
,,COM ST 30,1563,BROCCARD D,8,19,3,,,,,1,,,2,,33

,,COM ST 31,1564,MOVIUS L,27,3,4,1,2,1,,,,,2,,40
,,COM ST 35,1565,OGATA D K,26,1,,,,,,1,,,7,,35
,,,1566,OGATA D K,22,2,,,,1,,3,,,4,,32
,,,1567,OGATA D K,24,3,,,,,,3,,,5,,35
,,,1568,PICARELLI R R,6,3,2,1,2,,1,1,,,1,,17
,,,1569,TREMEAU CHEKROU,8,8,3,1,2,1,1,,,,1,,25
,,,1570,BERGSTROM L M,19,6,1,,,,,,,,4,,30
,,,1571,BROCCARD D,9,4,4,2,2,,,,,,4,,25
,,,1572,BROCCARD D,8,9,4,1,2,,,1,,,1,,26
,,,1573,SHAFFER J M,13,5,2,,2,1,,,,,7,,30
,,,1574,BERGSTROM L M,19,5,2,,,,,,,,5,,31
,,,1575,BERGSTROM L M,13,5,3,1,,,,,,,9,,31
,,,1576,GRASS N L,7,4,2,,5,,,,,,13,,31
,,COM ST 36,1577,BROCCARD D,6,3,5,1,1,,,,,,7,,23
,,,1578,KAIMIKAUA-GREEN C,4,2,2,1,1,,,,,,14,,24
,,COM ST 37,1579,GRASS N L,11,4,2,,1,1,,,,,5,,24
,,COM ST 310,5001,ANDRADE L M,14,7,3,,,,,,,,,,24
,FILM,FILM    1,2237,FLOOD S W,20,11,3,,,,,,,,1,,35
,,,2238,DANIELS R,19,6,2,1,,,,,,,,,28
,,,2239,MANOJLOVIC M,18,3,1,4,,,1,,,,1,,28
,,,2240,COLEMAN D,23,3,,,2,,,,,,5,,33
,,,2241,SIMMONS R D,13,7,6,4,,,,,,,,,30
,,,2242,SPRAGUE T,20,2,,,8,,,,,,4,,34
,,,2243,SPRAGUE T,19,7,2,1,3,,,,,,1,,33
,,,3499,SIMMONS R D,15,11,1,2,1,,,,,,1,,31
,,,4109,BOLUS M P,22,3,,,1,,,,,,2,,28
,,FILM    2,2245,KANIN J D,19,11,,,,,,1,,,1,,32
,,,2246,FLOOD S W,20,8,1,,1,1,1,,,,1,,33
,,FILM    5,4110,KANIN J D,20,6,,,1,,,,,,2,,29
,,FILM    6,2247,SHAW R D,19,6,3,2,1,,,,,,3,,34
,,FILM    7,2248,CARRASCO S,26,3,,,,3,,,,,1,,33
,,FILM    8,2249,BIRNBAUM M J,6,10,,1,9,,,1,,,,,27
,,,2250,MANOJLOVIC M,14,2,,,1,1,1,,,,2,,21
,,,4111,SHAW R D,13,4,2,1,1,,,3,,,5,,29

,,FILM    9,2251,LEECH M R,18,3,1,,2,1,,,,,5,,30
,,,2252,POIRIER N P,22,3,,,,,,4,,,4,,33
,,,4112,KANIN J D,7,9,1,2,2,1,,,,,6,,28
,,FILM   10,4113,BOLUS M P,14,5,2,,4,1,,,,,3,,29
,,FILM   11,2253,POIRIER N P,27,3,,,1,,,1,,,7,,39
,,FILM   20,2254,ROSENTHAL L,19,3,1,,1,,,,,,3,,27
,,,4114,PETRELLA R J,10,11,6,,1,,,,,,5,,33
,,,4303,BOLUS M P,11,,1,1,5,,,,,,6,,24
,,FILM   21,2255,BIRNBAUM M J,9,4,1,,11,2,,,,,1,,28
,,,2256,DICKINSON L M,19,1,,,2,,,,,,3,,25
,,,4115,PETRELLA R J,4,7,,,2,1,,,,,5,,19
,,FILM   30,2257,DANIELS R,10,1,2,2,,,,,,,3,,18
,,,2258,BARTESAGHI S,28,,,,,,,,,,,,28
,,FILM   31,4116,BARTESAGHI S,26,,,,,1,,,,,1,,28
,,,4117,BARTESAGHI S,28,,,,,,,,,,,,28
,,FILM   32,2259,BARTESAGHI S,22,,,,,,,,,,2,,24
,,,2260,CARRASCO S,25,1,,,,,,,,,,,26
,,FILM   32L,2261,BARTESAGHI S,22,,,,,,,,,,2,,24
,,,2262,CARRASCO S,25,1,,,,,,,,,,,26
,,FILM   33,2263,CARRASCO S,30,2,,,,,,,,,,,32
,,FILM   33L,2264,CARRASCO S,27,2,2,,,,,,,,,,31
,,FILM   40,2265,SOLANKI V M,22,6,,,,,,,,,3,,31
,,,2266,SOLANKI V M,14,4,,,1,,,,,,5,,24
,,FILM   50,2267,PLATT H H,7,8,4,,1,,,,,,3,,23
,,FILM   88A,3512,CARRASCO S,12,,,,,,,,,,,,12
,,FILM   90A,3495,GRASS N L,,,,,,1,,,,,,,1
,GLOBAL,GLOBAL  3,3438,MOVIUS L,2,1,,,,,,,,,,,3
,,,3439,MOVIUS L,4,2,3,,,,,,,,4,,13
,JOURN,JOURN   1,2435,RUBIN S M,11,3,1,,1,,,,,,2,,18
,,,2436,RUBIN S M,8,1,2,1,2,,,,,,3,,17
,,,2437,RUBIN S M,7,5,1,,,1,1,,,,5,,20
,,,2438,BLAIZE-HOPKINS A N,7,,4,2,7,,,,,,4,,24
,,JOURN   2,4142,OBSATZ S B,12,3,,,1,,,1,,,,,17
,,JOURN   7,2439,OBSATZ S B,6,1,,,,,,1,,,1,,9

,,JOURN  15,2440,RUBIN S M,3,5,2,3,3,2,,,,,5,,23
,,,2441,RUBIN S M,2,1,2,1,1,,,,,,6,,13
,,JOURN  16,2442,BLAIZE-HOPKINS A N,12,2,1,,2,,,,,,3,,20
,,JOURN  17,2443,BLAIZE-HOPKINS A N,5,,,,,,,,,,,,5
,,,2444,BLAIZE-HOPKINS A N,3,1,,,,,,,,,,,4
,,JOURN  21,2445,BURKHART G J,1,,,,,,,,,,,,1
,,JOURN  22,2446,BURKHART G J,1,,,,,,,,,,1,,2
,,JOURN  43,4143,ADELMAN A,6,5,1,,1,,,1,,,2,,16
,MEDIA,MEDIA   1,2744,BREWINGTON R H,22,2,1,,2,,,,,,4,,31
,,,2746,SIMMONS R D,6,5,7,,,1,,,,,2,,21
,,,2748,BREWER S L,35,3,2,,,,,,,,1,,41
,,,2749,BREWER S L,24,8,2,,1,,,,,,2,,37
,,,2750,PERNISCO N,27,5,,,1,,,,,,5,,38
,,,2751,BREWER S L,25,5,1,,1,,,,,,3,,35
,,,2752,CONLEY T,7,10,1,1,3,,,6,,,7,,35
,,,2753,BREWER S L,26,2,2,1,,,1,,,,2,,34
,,,2754,GOUGIS M J,14,5,6,,3,,1,,,,3,,32
,,,2756,MOVIUS L,32,4,1,,1,,,,,,1,,39
,,,2757,MOVIUS L,22,,2,,5,,,2,,,3,,34
,,,2758,STAMBLER L S,15,1,3,,1,,1,,,,2,,23
,,,2759,COLEMAN D,14,4,2,3,1,1,,,,,3,,28
,,,2760,STAMBLER L S,12,5,2,2,3,,,,,,4,,28
,,,3454,CAPTOR R,12,5,3,,2,,,,,,10,,32
,,MEDIA   2,2761,SCHOFIELD J E,10,1,1,1,1,,,,,,3,,17
,,MEDIA   3,2762,MOVIUS L,19,4,6,,4,,,,,,1,,34
,,,2763,MOVIUS L,13,3,5,,4,,,,,,,,25
,,MEDIA   4,2765,RAZ J G,18,11,2,1,2,,,,,,3,,37
,,,2766,RAZ J G,15,6,2,,3,,,,,,1,,27
,,MEDIA  10,2767,PERNISCO N,26,,2,,2,,,,,,3,,33
,,,2768,COLEMAN D,4,2,,1,3,,,,,,3,,13
,,,2769,GOUGIS M J,17,1,1,,2,,,,,,,,21
,,,2770,DICKINSON L M,11,11,3,,,,,,,,1,,26
,,,2771,OBSATZ S B,40,1,,,,,,,,,,,41
,,,2773,OBSATZ S B,32,6,,,,,,,,,2,,40

,,,2774,SCHOFIELD J E,14,4,,,2,,,,,,,,20
,,,2775,GOUGIS M J,7,6,6,1,4,,,,,,1,,25
,,,2776,SCHOFIELD J E,26,5,,1,1,,,,,,1,,34
,,,2777,OBSATZ S B,32,3,1,1,2,,,,,,2,,41
,,,3471,PERNISCO N,26,2,2,,5,1,,,,,5,,41
,,MEDIA  12,2778,SHAW R D,9,5,3,1,,,,3,,,1,,22
,,MEDIA  13,3285,BREWINGTON R H,14,1,,1,1,,,1,,,1,,19
,,,3358,STOWELL R,24,,,,,,,,,,1,,25
,,MEDIA  17,2779,CARLUCCI M A,9,,,,,,,1,,,1,,11
,,MEDIA  18,4207,ADELMAN A,5,5,,1,,,,,,,7,,18
,,MEDIA  20,2780,SHAW R D,3,7,3,1,1,,,2,,,8,,25
,,MEDIA  21,3354,CAREY R T,16,,,,,,,,,,,,16
,,,4208,EDWARDS S,13,4,2,,1,,,,,,,,20
,,,4210,CAPTOR R,6,,,,,,,,,,4,,10
,,MEDIA  25,3352,OBSATZ S B,1,,,,1,,,,,,,,2
,,MEDIA  46,3286,FETZER G C,9,2,1,,,,,,,,3,,15
,,MEDIA  88B,2786,GRASS N L,3,,,,,,,,,,,,3
,,MEDIA  88C,3482,BLAIZE-HOPKINS A N,2,,,,,,,,,,,,2
,PHOTO,PHOTO  13,2987,BURKHART G J,2,,,,,,,,,,3,,5
,,PHOTO  14,2988,BURKHART G J,5,1,,,3,,,,,,,,9
Computer Science and Information Systems (CSIS),CIS,CIS     1,1464,EL-KHOURY N R,20,2,3,,3,,,,,,2,,30
,,,1465,EL-KHOURY N R,17,4,1,,1,,,,,,2,,25
,,,1466,SCOTT JACQUELINE,6,5,4,1,4,,,,,,2,,22
,,,1467,SCOTT JACQUELINE,6,3,2,,5,,,,,,,,16
,,,1468,SCOTT JACQUELINE,2,,2,,1,,,,,,,,5
,,,1469,SIMMONDS A R,13,6,,,2,,,,,,1,,22
,,CIS     4,1470,JERRY G S,20,5,4,1,,,,,,,2,,32
,,,1471,JERRY G S,24,4,3,1,1,,,,,,1,,34
,,,1472,JERRY G S,15,4,5,2,1,,,,,,5,,32
,,,1473,JERRY G S,16,3,4,,2,,,,,,6,,31
,,,1474,CANADA S A,20,6,4,,,,,,,,1,,31
,,,1475,CANADA S A,14,3,3,,2,,,,,,1,,23
,,,1476,CANADA S A,17,5,3,3,1,,,,,,1,,30
,,,1477,EL-KHOURY N R,10,5,5,,6,,1,,,,3,,30

,,,1478,ZIMMERMAN W L,11,4,10,,3,,,,,,5,,33
,,CIS     9A,1480,DARWICHE J,1,1,1,,1,,,,,,1,,5
,,CIS     9B,1481,DARWICHE J,1,2,1,,,,,,,,1,,5
,,CIS    30,1482,BOLANDHEMAT F,11,4,3,,1,,,,,,3,,22
,,,1483,BOLANDHEMAT F,11,5,4,1,2,1,1,,,,5,,30
,,,3412,ZIMMERMAN W L,4,3,1,,4,,,,,,11,,23
,,CIS    30T,1484,BOLANDHEMAT F,11,1,,,,,,,,,9,,21
,,CIS    35A,1485,VALDIVIA O,12,4,,,,,,,,,4,1,21
,,CIS    35B,1486,VALDIVIA O,7,1,1,1,1,1,,,,,4,,16
,,CIS    37,1487,JERRY G S,11,4,1,,,1,,,,,5,,22
,,CIS    38,3472,VALDIVIA O,6,4,1,,,,1,,,,10,2,24
,,CIS    39,1489,JERRY G S,15,2,2,,,,,,,,3,,22
,,CIS    50,1490,CLARK G B,17,2,1,,,,,,,,6,,26
,,CIS    51,1491,BOLANDHEMAT F,4,4,2,,3,1,,,,,1,,15
,,CIS    54,1492,CLARK G B,5,,1,,1,2,1,,,,11,,21
,,CIS    60A,1493,VALDIVIA O,10,1,1,,1,1,,,,,11,,25
,,CIS    60B,1494,VALDIVIA O,5,,2,1,1,,,,,,6,,15
,,CIS    67,1495,CLARK G B,17,,,,2,2,1,,,,3,,25
,,CIS    70,1496,ROTHAUPT B L,10,1,,,,,,,,,1,,12
,,,3353,ROTHAUPT B L,12,1,1,,,,,,,,1,,15
,,CIS    902,7005,KAYZAKIAN Y,,,,,,5,5,,,,1,,11
,,CIS    903,7006,KAYZAKIAN Y,,,,,,5,5,,,,4,,14
,CS,CS      3,1755,SUPAT W,20,6,2,3,4,1,,,,,6,,42
,,,1756,RATTANASOOK H,13,9,5,2,6,,,,,,6,,41
,,,1757,HURLEY D P,18,11,1,,1,,,,,,8,,39
,,,1758,HURLEY D P,12,12,1,,1,,1,,,,8,,35
,,,1759,HAGHOO M,17,4,3,,3,1,,,,,8,,36
,,,3273,SUPAT W,13,8,4,,9,,,,,,5,,39
,,,4054,MARCHAND K A,12,2,5,2,2,,,,,,9,,32
,,,4055,BISHOP M S,4,4,4,4,3,1,1,,,,7,,28
,,,4056,MARCHAND K A,12,4,1,1,3,,,,,,12,,33
,,CS      7,3473,SENO V T,19,3,,,3,,2,,,,2,,29
,,CS      9A,1761,DARWICHE J,10,4,,,,,,,,,2,,16
,,CS      9B,1762,DARWICHE J,2,2,,,,,,,,,2,,6

,,CS     15,1763,HOTSINPILLER S S,11,5,3,1,6,,1,,,,7,,34
,,,1764,BOLANDHEMAT F,8,6,4,,3,,,,,,10,,31
,,CS     17,1765,STAHL H A,17,6,1,3,4,,,,,,11,,42
,,,1766,HAGHOO M,12,5,7,2,1,,1,,,,3,,31
,,,1767,STAHL H A,16,1,3,1,3,,,,,,12,,36
,,,3371,STAHL H A,10,2,2,1,2,,,,,,17,,34
,,CS     20A,4058,NGUYEN L V,9,4,8,3,1,1,3,,,,13,,42
,,,4059,NGUYEN L V,9,8,6,2,8,1,,1,,,6,,41
,,,4060,VIDAL S R,8,3,1,2,8,,,,,,15,2,39
,,CS     20B,4293,SU J C,11,6,,,1,,,,,,5,1,24
,,CS     30,4062,NGUYEN L V,10,7,6,1,5,,1,,,,7,,37
,,CS     34A,1768,BISHOP M S,6,3,1,2,4,,,,,,8,,24
,,CS     40,1770,MORGAN D B,13,3,3,1,,,,,,,10,1,31
,,CS     42,4064,KURTZ K A,17,5,6,3,4,,,,,,8,,43
,,,4065,KURTZ K A,20,7,2,3,1,,,,,,5,1,39
,,CS     50,1771,DEHKHODA A,19,5,5,1,1,,,,,,11,,42
,,,1772,KOENIG P,26,3,,3,1,,,,,,3,,36
,,,1773,DEHKHODA A,16,6,3,3,3,,,,,,5,,36
,,,1774,DEHKHODA A,12,5,3,2,5,,,,,,7,,34
,,,1775,SU J C,14,9,,1,1,,,,,,16,,41
,,,4066,AMINI A,15,7,,2,8,,,,,,8,,40
,,,4067,AMINI A,10,6,5,,7,,,,,,8,,36
,,CS     52,1776,BISHOP M S,3,1,2,,2,,,,,,6,,14
,,,1777,BISHOP M S,8,5,3,1,2,,,,,,11,,30
,,,1778,RATTANASOOK H,25,7,1,1,1,,,1,,,5,,41
,,,1780,SMITH DA R,7,4,2,,2,,,,,,6,,21
,,,1781,RATTANASOOK H,19,13,1,1,5,,,,,,5,,44
,,,4068,BISHOP M S,4,1,1,6,2,,,,,,7,,21
,,CS     55,1782,DEHKHODA A,20,8,4,,,,,,,,2,,34
,,,1783,DEHKHODA A,13,8,1,1,,,,,,,10,,33
,,,3368,KALISCH N A,12,20,4,1,4,1,,,,,2,,44
,,CS     56,1784,DEHKHODA A,23,7,,2,,,,,,,5,,37
,,,1785,KALISCH N A,11,15,2,1,1,1,,,,,3,,34
,,CS     60,1786,SHARMA V D,16,4,2,1,4,,,,,,11,,38

,,,1787,SHARMA V D,13,2,,,6,1,1,,,,10,,33
,,CS     70,4070,MORGAN D B,6,7,4,,1,,2,,,,15,,35
,,CS     73A,1788,DARWICHE J,26,3,1,,,,,,,,11,,41
,,CS     73B,1789,CORBIN S L,20,2,,,3,,1,,,,3,,29
,,CS     73C,1790,SENO V T,20,6,6,1,3,,,,,,2,,38
,,CS     73L,1791,DARWICHE J,7,3,4,1,1,,1,,,,4,,21
,,CS     79A,1793,DABBAGH H,21,9,2,,,,,,,,5,,37
,,,3474,KOL K T,11,1,1,1,12,1,1,,,,9,,37
,,CS     79B,1794,SAMPLEWALA M S,11,10,4,,4,,,,,,6,,35
,,CS     79C,1796,SENO V T,20,2,2,,2,,,,,,3,,29
,,CS     79D,1797,SENO V T,19,4,4,,3,,,2,,,3,,35
,,CS     79E,1798,SENO V T,6,1,,,2,,1,1,,,2,,13
,,CS     79F,1799,SENO V T,10,1,,,2,,1,2,,,4,,20
,,CS     79Y,1800,KOL K T,9,2,1,,6,1,1,1,,,3,,24
,,CS     79Z,1801,KOL K T,7,4,,,2,,,,,,3,,16
,,CS     80,1802,BOLANDHEMAT F,20,4,3,,2,,,,,,2,,31
,,,1803,BOLANDHEMAT F,15,5,1,1,4,,,,,,15,,41
,,CS     81,1804,WANG AN C,17,3,3,1,5,1,2,,,,11,,43
,,CS     82A,1805,SENO V T,19,4,4,1,1,,1,,,,4,,34
,,CS     87A,1806,DARWICHE J,8,4,5,,4,,,,,,8,,29
,,,1807,DARWICHE J,6,5,2,2,2,,,,,,8,1,26
,,,1808,WANG AN C,26,4,1,,4,1,1,,,,3,,40
,,,1809,KOENIG P,34,2,1,3,,,,,,,1,,41
,,CS     87B,1810,DARWICHE J,16,9,2,1,3,,,,,,5,1,37
,,CS     88C,1813,STAHL H A,1,,,,,,,,,,,,1
,OFTECH,OFTECH  1,2920,REED A M,8,1,,1,2,,,,,,7,,19
,,OFTECH  1A,2921,VYOR S J,5,1,,,,,,,,,2,,8
,,,2922,VYOR S J,3,2,1,,1,,,,,,2,,9
,,OFTECH  1B,2923,VYOR S J,2,,,,,,,,,,1,,3
,,,2924,VYOR S J,1,,,,,,,,,,1,,2
,,OFTECH  1C,2925,VYOR S J,1,,,,,,,,,,,,1
,,,2926,VYOR S J,1,,,1,,,,,,,,,2
,,OFTECH  5,2927,REED A M,23,6,,,1,,1,,,,1,,32
,,OFTECH  9,2928,VYOR S J,,,,,,,,,,,1,,1

,,OFTECH 25,2930,REED A M,15,4,3,,1,,,,,,1,,24
,,OFTECH 27,2931,REED A M,18,3,2,,,,,,,,3,1,27
,,OFTECH 30,2932,REED A M,9,3,2,,1,,,,,,2,,17
,,OFTECH 31,2933,REED A M,4,3,1,1,1,,,,,,2,,12
Cosmetology,COSM,COSM   10A,1583,HORN S L,10,9,2,4,,,,,,,4,,29
,,,1584,KEPLER J M,17,2,1,1,4,,,,,,,,25
,,,1585,KEPLER J M,17,3,5,,2,,,,,,,,27
,,,1586,KEPLER J M,10,5,3,2,1,,,,,,4,,25
,,COSM   10B,1587,MOISAN A V,9,5,3,1,2,,,,,,5,,25
,,,1588,MOISAN A V,20,4,1,1,1,,,,,,1,,28
,,,1589,MOISAN A V,12,5,2,,3,,,,,,2,,24
,,,1590,MOISAN A V,9,7,2,1,1,,,,,,5,,25
,,COSM   11A,1591,MOISAN A V,9,4,,,4,,,,,,5,,22
,,,1592,MOISAN A V,10,,1,,,,,,,,11,,22
,,COSM   11B,1593,PERRET D M,9,4,2,,2,,,,,,2,,19
,,,1594,PERRET D M,5,4,2,,5,,,,,,3,,19
,,COSM   11C,1595,MANUEL S M,8,1,5,1,,,,,,,2,,17
,,,1596,MANUEL S M,6,3,6,1,,,,1,,,1,,18
,,COSM   11D,1597,MOISAN A V,14,,1,,8,,,,,,5,,28
,,,1598,MOISAN A V,9,3,1,,1,1,,,,,4,,19
,,COSM   11E,1599,MYERS A M,5,6,2,1,1,,,,,,6,,21
,,,1600,MYERS A M,3,1,1,,1,1,,,,,1,,8
,,COSM   16,1601,HARRISON H L,17,1,1,,4,,,,,,4,,27
,,,1602,CEBALLOS B A,13,,,,,1,,,,,5,,19
,,COSM   18,1603,MANUEL S M,11,4,,,,,,,,,2,,17
,,,1604,LIM J Y,22,2,,3,,,,,,,2,,29
,,,1605,LIM J Y,10,3,2,1,,,,,,,3,,19
,,,3290,MANUEL S M,5,1,4,2,,,,,,,2,,14
,,COSM   20,1606,IJAMES S V,7,6,,1,,,,,,,5,,19
,,,1607,IJAMES S V,8,5,,1,2,,,,,,5,,21
,,,1608,IJAMES S V,18,3,1,,1,,,,,,4,,27
,,COSM   21A,1610,HARRISON H L,7,1,1,,,,,,,,2,,11
,,COSM   21B,1612,MANUEL S M,8,3,1,,,,,,,,,,12
,,COSM   21C,1614,PERRET D M,4,2,,,1,,,,,,2,,9

,,COSM   21D,1616,HARRISON H L,8,,,,,,,,,,4,,12
,,COSM   21E,1618,MYERS A M,5,2,,,,,,,,,1,,8
,,COSM   26,1619,MONGE J V,17,4,1,,1,,,,,,1,,24
,,,1620,MONGE J V,13,3,,,1,,,,,,3,,20
,,COSM   28A,1621,HORN S L,5,6,1,,,,,,,,,,12
,,,1622,VAN KALLEN D,9,1,3,,1,,,,,,2,,16
,,,1623,VAN KALLEN D,9,2,3,,,,,,,,3,,17
,,COSM   28B,1624,LIM J Y,10,3,,,,,,,,,3,,16
,,,1625,HORN S L,8,3,,3,,,,,,,,,14
,,,1626,LIM J Y,16,1,,,,1,,,,,1,,19
,,,1627,HORN S L,7,2,,,,,,,,,1,,10
,,COSM   30,1628,IJAMES S V,10,7,8,,1,,,,,,3,,29
,,,1629,IJAMES S V,10,3,4,,1,,,,,,4,,22
,,,1630,IJAMES S V,3,7,4,1,,,,,,,3,,18
,,COSM   31A,1632,MONGE J V,12,1,,,1,,,,,,,,14
,,COSM   31B,1633,ASSADI J,5,4,,,,,,,,,1,,10
,,COSM   31C,1634,CEBALLOS B A,12,1,,,,,,,,,2,,15
,,COSM   31E,1636,ASSADI J,5,8,,1,,1,,,,,2,,17
,,COSM   36,1637,MYERS A M,12,4,3,,,,,,,,7,,26
,,,1638,MYERS A M,8,5,1,,1,,,,,,6,,21
,,COSM   38,1639,LIM J Y,19,2,1,,,,,,,,2,,24
,,,1640,LIM J Y,16,2,,,,1,,,,,2,,21
,,,1641,IJAMES S V,14,,1,,,,,,,,2,,17
,,COSM   38B,1642,VAN KALLEN D,11,8,3,,,,,,,,1,,23
,,,1643,VAN KALLEN D,6,10,4,,,,,,,,,,20
,,COSM   38C,1644,VAN KALLEN D,4,7,4,,,,,,,,1,,16
,,,1645,VAN KALLEN D,9,12,6,,,,,,,,,,27
,,COSM   40,1646,DICAMILLO N,10,2,1,,2,,1,,,,5,,21
,,COSM   41B,1647,MONGE J V,9,,1,,,,,,,,,,10
,,COSM   42,1649,HARRISON H L,8,3,,,1,,,,,,1,,13
,,COSM   46,1650,MONGE J V,15,2,1,,1,,,,,,3,,22
,,COSM   48,1651,HORN S L,2,2,1,2,,,,,,,,,7
,,,1652,KEPLER J M,15,,,,,,,,,,,,15
,,,1653,KEPLER J M,14,,,,,,,,,,3,,17

,,,1654,HORN S L,4,5,3,1,,,,,,,1,,14
,,COSM   48B,1655,MONGE J V,13,1,1,,,,,,,,1,,16
,,,1656,MONGE J V,13,6,,,3,,,,,,1,,23
,,,1657,MONGE J V,10,,2,,,,,,,,1,,13
,,COSM   50A,1658,MOISAN A V,12,3,,,,,,,,,2,,17
,,,1659,MOISAN A V,4,2,,,,,,,,,7,,13
,,COSM   50B,3291,CEBALLOS B A,16,,,,,,,,,,,,16
,,COSM   50C,1660,DICAMILLO N,4,,,,,,,,,,1,,5
,,,1662,DICAMILLO N,5,1,,,,,,,,,2,,8
,,,1663,DICAMILLO N,3,3,,,1,,,,,,1,,8
,,COSM   50E,1664,DICAMILLO N,3,7,,,4,,,,,,,,14
,,,1665,DICAMILLO N,4,3,,,1,,,,,,1,,9
,,,1666,DICAMILLO N,2,3,,,4,,,,,,3,,12
,,,1667,DICAMILLO N,3,3,,,5,,,,,,2,,13
,,COSM   50N,1668,DICAMILLO N,2,1,,,1,,,,,,1,,5
,,,1669,DICAMILLO N,1,2,,,,,,,,,,,3
,,,1670,DICAMILLO N,1,,,,1,,,,,,1,,3
,,,1671,DICAMILLO N,3,,,,1,,,,,,,,4
,,COSM   50R,1672,DICAMILLO N,,,,,,,,,,,1,,1
,,COSM   64,1674,MANUEL S M,20,3,5,3,1,,,,,,,,32
,,,1675,MANUEL S M,22,5,5,,,,,1,,,,,33
,,COSM   95A,1679,PERRET D M,,,,,,48,17,,,,8,,73
,,COSM   95B,1680,MONGE J V,,,,,,20,9,,,,5,,34
,,COSM   95C,1681,HARRISON H L,,,,,,3,3,,,,6,,12
,,COSM   95D,1682,ASSADI J,,,,,,4,2,,,,1,,7
Counseling,COUNS,COUNS   1,1683,FINLEY S F,,,,,,32,4,,,,3,,39
,,,1684,FINLEY S F,,,,,,30,6,,,,,,36
,,COUNS  11,1685,FINLEY S F,,,,,,38,3,,,,2,,43
,,,1686,NISHIYAMA T K,,,,,,36,3,,,,2,,41
,,,1687,NOU C S,,,,,,37,5,,,,1,,43
,,,1688,LOKENI K,,,,,,21,10,,,,2,,33
,,,3390,ESQUIVEL E,,,,,,24,12,,,,3,,39
,,COUNS  11B,1689,ROWLAND Y T,,,,,,20,3,,,,1,,24
,,COUNS  12,1691,TRACHTENBERG J M,15,2,1,,5,,,,,,,,23

,,,1692,GURROLA D M,10,4,3,,8,,,,,,3,,28
,,,1693,JOHNSON DE A,15,4,,2,7,,,,,,3,,31
,,,1694,GAUSMAN J M,12,4,2,3,,,,,,,,,21
,,,1696,SRAPYAN G,15,2,,,5,1,,,,,2,,25
,,,1697,SUNDERMEIER C,25,1,2,,5,,,,,,1,,34
,,,1698,ABRAMYAN M D,18,4,2,,4,,,,,,1,,29
,,,1699,TRACHTENBERG J M,16,1,,2,7,,,,,,1,,27
,,,1701,JOHNSON DE A,8,1,2,1,10,,,,,,8,,30
,,,1702,GAUSMAN J M,12,1,1,1,3,,1,,,,2,,21
,,,1703,GURROLA D M,8,7,1,1,3,,,,,,4,,24
,,COUNS  15,1706,FOX M P,26,3,4,,1,,,,,,2,,36
,,,1707,FOX M P,23,6,,,5,,,,,,2,,36
,,COUNS  20,1711,COOPER D J,12,6,2,3,7,,,,,,1,,31
,,,1712,TREJO A D,9,7,3,,2,,,,,,5,,26
,,,1714,COOPER D J,13,4,1,1,7,,,,,,3,,29
,,,1716,COOPER D J,17,3,,,6,,,,,,3,,29
,,,1718,TREJO A D,10,4,4,,3,,,,,,3,,24
,,,1719,VALENTINE D,12,1,2,,2,,,,,,12,,29
,,,1721,VALENTINE D,5,5,3,1,1,,,,,,6,,21
,,,1722,GALINDO O A,21,2,1,1,7,1,,,,,,,33
,,,1723,GALINDO O A,7,7,1,2,5,1,,,,,4,,27
,,,1724,BONILLA V,11,5,1,1,1,,,,,,3,,22
,,,1726,TILLEY ROSILYNN E,9,3,,,1,,,,,,6,,19
,,,1727,BONILLA V,18,2,4,1,3,,,,,,5,,33
,,,1728,FELIX J,14,6,4,1,9,1,,,,,1,,36
,,,1729,TILLEY ROSILYNN E,6,2,6,,,,,,,,7,,21
,,,1730,FELIX J,11,6,,1,6,1,,,,,5,,30
,,,1731,BONILLA V,14,4,2,,4,,1,,,,4,,29
,,,3413,FELIX J,6,4,6,2,4,,,,,,7,,29
,,,3436,TREJO A D,11,4,2,,1,,,,,,5,,23
,,,3455,VALENTINE D,6,4,2,,2,,,,,,12,,26
,,,3502,FINLEY S F,14,1,1,1,4,,3,,,,7,,31
,,COUNS  88C,1750,FELIX J,2,,,,,,,,,,,,2
